,state,county,fips,project_name,project_op_year,windmills_count,capacity,longitude,latitude
84,CA,Kern County,6029,Oak Creek,65967,1089,762.3000000000004,-3905.938011,1156.141272
85,CA,Kern County,6029,Oak Creek Energy Systems,25895,169,-29935.517999999993,-1538.7057799999998,455.4709089999999
86,CA,Kern County,6029,Oasis,2004,1,-9999.0,-118.276146,35.060970000000005
87,CA,Kern County,6029,Oasis Power Partners,118236,3540,3540.0,-6979.235054999999,2068.6584069999994
88,CA,Kern County,6029,Pacific Wind,140840,4900,10045.0,-8289.946234000001,2442.7752570000002
89,CA,Kern County,6029,Pine Tree Wind Farm,160720,6400,9600.0,-9455.156714000002,2820.895198
90,CA,Kern County,6029,Pine Tree extension,20100,100,150.0,-1181.939584,352.559655
91,CA,Kern County,6029,Pinyon Pines I,118708,3304,9912.0,-6975.130135000001,2068.146243
92,CA,Kern County,6029,Pinyon Pines II,74444,1628,4884.0,-4373.714106000001,1295.482928
93,CA,Kern County,6029,Rising Tree North,60420,900,2970.0,-3546.575340000001,1052.5438940000001
94,CA,Kern County,6029,Rising Tree South,60450,900,2970.0,-3547.447226,1051.7624979999998
95,CA,Kern County,6029,Sky River,666650,114570,25778.250000000153,-39610.35244000001,11805.760541000007
96,CA,Kern County,6029,Tehachapi Hills,240185,28072,2526.4800000000077,-14318.436225999998,4247.016059999998
97,CA,Kern County,6029,Tehachapi Hills (85A),73445,5809,522.81,-4378.490053,1298.744649
98,CA,Kern County,6029,Tehachapi Hills (85B),422805,45791,-15915.150000000014,-25204.87809499998,7476.642032000001
99,CA,Kern County,6029,Tehachapi Windplant I,265856,17956,1167.1400000000024,-15863.847078999996,4697.811640999998
100,CA,Kern County,6029,Tehachapi Windplant II,23964,156,101.40000000000002,-1419.5544499999999,421.373936
101,CA,Kern County,6029,Windland,120956,3485,806.0399999999988,-7218.805808000001,2140.5995570000005
102,CA,Kern County,6029,Windridge Wind Farm,81344,1681,168.09999999999988,-4854.176093,1438.780036
103,CA,Kern County,6029,Windstar,120720,1898,3796.0,-7099.547950000001,2102.182001
104,CA,Kern County,6029,unknown Kern County,-17989,9,-29997.0,-355.023858,105.882637
105,CA,Kern County,6029,unknown Tehachapi Wind Resource Area 1,3629042,3352561,-18308169.0,-216622.43965399987,64219.73771599998
106,CA,Kern County,6029,unknown Tehachapi Wind Resource Area 3,118295,3481,-589941.0,-6979.007692000002,2068.0885079999994
107,CA,Los Angeles County,6037,California State Prison Los Angeles County,2017,1,1.85,-118.22159599999999,34.691982
108,CA,Los Angeles County,6037,Lake Palmdale,2004,1,0.95,-118.11828600000001,34.555896999999995
109,CA,Los Angeles County,6037,San Clemente Island,5995,9,2.0250000000000004,-355.656525,98.958984
110,CA,Marin County,6041,McEvoy Ranch,2009,1,0.225,-122.679672,38.15757
111,CA,Merced County,6047,Dinosaur Point,1988,1,0.1,-121.187164,37.040797999999995
112,CA,Merced County,6047,International Turbine Research Center,324044,26569,2841.089999999995,-19752.650730000005,6037.7504590000035
113,CA,Monterey County,6053,City of Soledad Water Reclamation Facility,2014,1,1.85,-121.34016399999999,36.42094
114,CA,Monterey County,6053,Scheid Vineyards,2017,1,1.85,-121.191589,36.274509
115,CA,Monterey County,6053,Taylor Farms,2014,1,1.85,-121.451797,36.50515
116,CA,Riverside County,6065,Alta Mesa 1 and 2,228620,13225,2134.3999999999955,-13416.019842000002,3903.320008
117,CA,Riverside County,6065,Alta Mesa 3,83790,1764,396.8999999999997,-4899.727508,1425.525987
118,CA,Riverside County,6065,Cabazon,228072,6600,4604.040000000003,-13306.344374000002,3866.0673070000016
119,CA,Riverside County,6065,Desert Hot Springs,15880,64,-79992.0,-932.868187,271.599075
120,CA,Riverside County,6065,DifWind Farms Ltd. I,135048,4624,499.39199999999965,-7926.701098999999,2305.1472360000002
121,CA,Riverside County,6065,DifWind Farms Ltd. II,55608,784,84.67200000000001,-3263.883241,949.0815280000002
122,CA,Riverside County,6065,DifWind Farms Ltd. IIA,73482,1443,93.79499999999992,-4313.019802000001,1253.9695659999998
123,CA,Riverside County,6065,DifWind Farms Ltd. V,182620,10028,1083.0240000000015,-10723.365215,3118.0629339999996
124,CA,Riverside County,6065,Dillon,90360,2025,2025.0,-5245.586979,1527.1920479999999
125,CA,Riverside County,6065,Dutch Energy,39880,400,200.0,-2331.2055980000005,677.875888
126,CA,Riverside County,6065,EUI Management,220335,6921,625.8649999999994,-12944.741514000005,3767.983941000001
127,CA,Riverside County,6065,East Winds,13895,49,29.154999999999998,-815.835366,237.237319
128,CA,Riverside County,6065,Edom Hills (repower),16064,64,160.0,-931.710099,271.06225500000005
129,CA,Riverside County,6065,Enron Earth Smart/Green Power,11994,132,99.0,-699.4577160000001,203.49427100000003
130,CA,Riverside County,6065,Garnet Wind Project,26117,169,84.5,-1515.5723569999996,440.766724
131,CA,Riverside County,6065,Green Power,25987,286,200.84999999999997,-1515.4036690000003,440.90400600000004
132,CA,Riverside County,6065,Karen Avenue Windfarm,23985,144,140.4,-1398.7085730000001,407.0516849999999
133,CA,Riverside County,6065,Mesa Wind Farm,856656,198720,12916.799999999901,-50398.52726099997,14667.139896000002
134,CA,Riverside County,6065,Mountain View IV,98588,2401,2401.0,-5711.4742510000015,1660.2576220000008
135,CA,Riverside County,6065,Mountain View Power Partners I,20010,730,438.00000000000006,-1165.7818439999999,339.049617
136,CA,Riverside County,6065,Mountain View Power Partners I & II,176088,9768,5860.800000000006,-10261.986978999998,2984.0040319999994
137,CA,Riverside County,6065,Mountain View Power Partners II,20010,370,221.99999999999994,-1165.846259,338.926594
138,CA,Riverside County,6065,Mountain View Power Partners III,66099,1122,740.5200000000006,-3847.5061319999995,1119.17382
139,CA,Riverside County,6065,Nestle Waters,4024,4,6.0,-233.499778,67.833988
140,CA,Riverside County,6065,Nordex Energy,20000,100,100.0,-1166.265563,339.412339
141,CA,Riverside County,6065,Painted Hills,444640,37856,3407.0400000000063,-26123.995877000012,7601.764177000002
142,CA,Riverside County,6065,Palm Springs (repower),66363,1089,1633.5,-3847.3824200000004,1119.3002410000001
143,CA,Riverside County,6065,Robertsons Ready Mix,4024,4,6.4,-233.62647200000004,67.83179100000001
144,CA,Riverside County,6065,San Gorgonio Farms Wind Farm,227226,12965,3531.47,-13294.423166999997,3867.6070019999997
145,CA,Riverside County,6065,San Gorgonio Westwinds II LLC,123938,2500,1749.9999999999984,-7227.489052,2101.678319999999
146,CA,Riverside County,6065,San Gorgonio Wind Associates 7,3972,4,2.64,-233.17417999999998,67.84359
147,CA,Riverside County,6065,San Jacinto Power Company,103220,2756,241.54000000000016,-6061.226601999999,1762.535739
148,CA,Riverside County,6065,VPI Enterprises Inc.,192545,9409,-8997.240000000042,-11307.356849999996,3287.639271
149,CA,Riverside County,6065,Wagner,4024,4,12.0,-233.11117599999997,67.81618900000001
150,CA,Riverside County,6065,Westwind Association,140935,11644,1085.3059999999984,-8276.344925999998,2409.2650240000003
151,CA,Riverside County,6065,Whitewater Hill,82082,1681,2521.5,-4781.461182999999,1390.9708059999998
152,CA,Riverside County,6065,Wintec Palm,43692,484,31.459999999999997,-2564.3211670000005,746.0691229999999
153,CA,Riverside County,6065,unknown Riverside County,-7982,4,-19998.0,-233.21997800000003,67.821529
154,CA,Riverside County,6065,unknown San Gorgonio Pass 1,287245,21025,-1449855.0,-16903.650416000004,4914.867644999997
155,CA,Riverside County,6065,unknown San Gorgonio Pass 4,73445,1369,-369963.0,-4315.0626760000005,1255.8083630000003
156,CA,Riverside County,6065,unknown San Gorgonio Pass 6,11976,36,-59994.0,-699.494729,203.388673
157,CA,Riverside County,6065,unknown San Gorgonio Pass 7,25948,169,-129987.0,-1515.426757,441.04363300000006
158,CA,San Bernardino County,6071,Barstow Marine Logistics Base,2009,1,1.5,-116.95978500000001,34.862396000000004
159,CA,San Bernardino County,6071,Cemex Black Mountain Quarry,4024,4,6.0,-234.224174,69.24429
160,CA,San Bernardino County,6071,Cemex River Plant,4024,4,6.4,-234.61307499999998,69.122093
161,CA,San Bernardino County,6071,Inland Empire Utility Agency,2011,1,1.0,-117.52638999999999,34.084896
162,CA,San Bernardino County,6071,Victorville Wind Project,2005,1,0.75,-117.35829199999999,34.557693
163,CA,San Diego County,6073,Golden Acorn Casino,2014,1,1.85,-116.35131799999999,32.701496
164,CA,San Diego County,6073,Kumeyaay Phase I,50125,625,1250.0,-2908.4646059999995,817.9257689999998
165,CA,San Diego County,6073,Tule,115026,3249,7472.700000000007,-6628.979726999999,1867.5014740000004
166,CA,San Joaquin County,6077,Safeway Tracy,4022,4,4.0,-243.042816,75.42773400000002
167,CA,San Joaquin County,6077,Teichert Aggregates,2010,1,1.5,-121.35656000000002,37.616653
168,CA,Shasta County,6089,Hatchett Ridge,88440,1936,4452.7999999999965,-5358.938482,1799.1778949999994
169,CA,Solano County,6095,Anheuser-Busch Fairfield,4025,2,3.35,-244.18136600000003,76.465801
170,CA,Solano County,6095,EDF Renewable V,141290,5538,1150.2000000000014,-8649.288587000003,2704.805408000001
171,CA,Solano County,6095,High Winds,180270,8100,14580.0,-10962.25812,3431.7800459999994
172,CA,Solano County,6095,Montezuma,32160,256,588.8,-1948.751787,610.5872200000001
173,CA,Solano County,6095,Montezuma Winds II,68408,1156,2658.7999999999993,-4141.94137,1296.0330339999998
174,CA,Solano County,6095,Shiloh II,150675,2853,5706.0,-9134.350374999998,2862.2512760000004
175,CA,Solano County,6095,Shiloh III,104572,2140,4387.000000000003,-6331.7968070000015,1984.6105520000003
176,CA,Solano County,6095,Shiloh IV,96576,2040,4182.0,-5848.810155,1830.3987059999997
177,CA,Solano County,6095,Shiloh Wind Project,212636,6808,10212.0,-12916.301470999992,4043.6304240000004
178,CA,Solano County,6095,Solano Phase 3,110660,1537,3457.800000000001,-6698.134369,2094.8278250000008
179,CA,Solano County,6095,Solano Phase IIA,16048,64,192.0,-974.197981,304.81136
180,CA,Solano County,6095,Solano Wind Project,42147,441,1323.0,-2557.0988460000003,800.127804
181,CA,Solano County,6095,"Solano Wind Project, Phase I",30045,225,148.50000000000003,-1826.557204,571.9072239999999
182,CA,Solano County,6095,"Solano Wind Project, Phase IA",16032,56,36.96,-974.197748,304.999192
183,CA,Solano County,6095,Superior Farms,2012,1,1.0,-121.81748999999999,38.420094
184,CA,Solano County,6095,unknown Solano County,13930,49,-69993.0,-852.688408,266.535163
185,CA,Tehama County,6103,Walmart Red Bluff,2012,1,1.5,-122.193886,40.111195
186,CA,Tulare County,6107,unknown Tulare County,2012,1,-9999.0,-119.329895,36.16758
187,CA,Yolo County,6113,Cemex Madison,2012,1,1.5,-121.93518799999998,38.687595
188,CA,Yolo County,6113,unknown Yolo County,2014,1,-9999.0,-121.86121399999999,38.580673
189,CO,Adams County,8001,Aurora Wal-Mart,2005,1,0.05,-104.773087,39.760796
190,CO,Baca County,8009,Lamar III,2004,2,3.0,-102.650894,37.362293
191,CO,Bent County,8011,Twin Buttes,100350,2500,3750.0,-5142.985810999998,1883.6440590000004
192,CO,Cheyenne County,8017,unknown Cheyenne County,18162,81,-89991.0,-928.3425139999999,351.077351
193,CO,El Paso County,8041,Golden West Wind Farm,292175,21025,36134.00000000003,-15113.267511999993,5654.650303000003
194,CO,Elbert County,8039,Cedar Point,66363,4587,8256.599999999997,-3423.6409830000002,1299.785709
195,CO,Elbert County,8039,Limon I,42252,2625,4200.0,-2179.053085,826.852385
196,CO,Elbert County,8039,unknown Elbert County,357368,35721,-1889811.0,-19635.29873500001,7397.151261000001
197,CO,Huerfano County,8055,Busch Ranch,32192,256,460.8000000000001,-1671.549622,604.510203
198,CO,Huerfano County,8055,Huerfano River,8052,16,32.0,-419.32230400000003,151.10060199999998
199,CO,Huerfano County,8055,Peak View Wind,42336,714,1278.0599999999997,-2194.738952,791.354871
200,CO,Jefferson County,8059,NREL - NWTC,-23968,36,42.6,-631.3476410000001,239.45158400000003
201,CO,Kit Carson County,8063,Carousel,175305,7656,13015.200000000019,-8886.433803000004,3425.066132000001
202,CO,Kit Carson County,8063,Kit Carson Project,68340,1156,1734.0,-3479.180771,1338.5091660000005
203,CO,Kit Carson County,8063,unknown Kit Carson County,54486,729,-269973.0,-2784.894554,1055.39989
204,CO,Las Animas County,8071,Peak View Wind,26208,442,791.1800000000001,-1358.4973850000001,489.538194
205,CO,Lincoln County,8073,Cedar Point,213166,14734,26521.200000000048,-10986.517341999996,4183.316641000002
206,CO,Lincoln County,8073,Limon I,209248,13000,20800.0,-10776.196794999998,4097.681381000001
207,CO,Lincoln County,8073,Limon II,251500,15625,25000.0,-12945.593687000006,4916.862751999999
208,CO,Lincoln County,8073,Limon III,237652,13924,23670.799999999967,-12200.760483,4643.817938000001
209,CO,Lincoln County,8073,unknown Lincoln County,129152,4096,-639936.0,-6604.458618000001,2502.1951940000004
210,CO,Logan County,8075,Colorado Highlands,112686,1960,3155.5999999999985,-5754.689362000002,2281.474119
211,CO,Logan County,8075,Northeast Colorado Wind,162729,4581,10356.299999999997,-8332.630191000002,3319.323036999999
212,CO,Logan County,8075,Peetz Table,535869,71289,106933.5,-27587.034800000016,10936.84206
213,CO,Logan County,8075,Peetz Table Wind Farm,66033,1089,980.1000000000006,-3404.3111549999985,1351.1561190000002
214,CO,Logan County,8075,Spring Canyon,80240,1600,2400.0,-4120.798423,1638.522224
215,CO,Logan County,8075,Spring Canyon Expansion,70490,1225,2100.0,-3605.5123980000003,1434.601244
216,CO,Prowers County,8099,Colorado Green Wind Project (Lamar),216324,11664,17496.0,-11084.757079999998,4071.671699999999
217,CO,Prowers County,8099,Lamar Municipal,8016,12,18.0,-410.13410999999996,152.130784
218,CO,Prowers County,8099,Twin Buttes II,72612,936,1962.0,-3690.849518,1359.896463
219,CO,Pueblo County,8101,Pueblo Towers,2010,1,1.8,-104.621391,38.163395
220,CO,Weld County,8123,Cedar Creek,549918,51650,53054.5,-28502.102155999975,11202.279625
221,CO,Weld County,8123,Cedar Creek II,245342,7509,15200.399999999981,-12662.248664000002,4993.014668
222,CO,Weld County,8123,Ponnequin (EUI),1999,7,5.1,-104.81102800000001,40.998688
223,CO,Weld County,8123,Ponnequin (PSCo),30015,225,148.50000000000003,-1572.0359360000002,614.934365
224,CO,Weld County,8123,Ponnequin 1 and 2,55972,784,609.0,-2935.1023170000003,1147.808003
225,CO,Yuma County,8125,Wray School District,2008,1,0.9,-102.22328900000001,40.050995
226,CO,Yuma County,8125,unknown Yuma County,4032,4,-19998.0,-205.43412,80.07262
227,CT,Litchfield County,9005,Wind Colebrook South,4030,4,10.0,-146.290909,83.927181
228,CT,New Haven County,9009,Phoenix Press,2010,1,0.1,-72.90193199999999,41.301204999999996
229,DE,Sussex County,10005,University of Delaware,2010,1,2.0,-75.164902,38.78289
230,FL,Flagler County,12035,unknown Flagler County,2013,1,-9999.0,-81.459099,29.484995
231,GU,Guam,66010,Guam Power Authority Wind Turbine,2016,1,0.275,144.722656,13.389381
232,HI,Hawaii County,15001,Hawi Renewable,32096,256,168.96,-2493.610687,324.100854
233,HI,Hawaii County,15001,Lalamilo Wells Repowering,10085,25,16.5,-778.828949,99.937178
234,HI,Hawaii County,15001,Pakini Nui (KA'ALUALU),28098,196,294.0,-2179.65434,265.598756
235,HI,Hawaii County,15001,unknown Hawaii County,2013,1,-9999.0,-155.804489,20.240572
236,HI,Honolulu County,15003,Kahuku,24132,144,360.0,-1895.6964569999998,260.171562
237,HI,Honolulu County,15003,Kawailoa Wind,60360,900,2070.0,-4741.257705,648.25431
238,HI,Maui County,15009,Auwahi Wind,16096,64,192.0,-1250.546294,164.771078
239,HI,Maui County,15009,Kaheawa (Maalaea),40120,400,600.0,-3131.0104059999994,416.282939
240,HI,Maui County,15009,Kaheawa Wind II,28168,196,294.0,-2191.501586,291.12525999999997
241,HI,Maui County,15009,University of Hawaii at Maui Wind Generato,2012,1,-9999.0,-156.481689,20.891296
242,HI,Maui County,15009,unknown Maui County,6045,9,-29997.0,-469.271072,62.57873
243,IA,Adair County,19001,Adair,128512,4864,11187.199999999993,-6058.165883999998,2653.139275999998
244,IA,Adair County,19001,Bulldog,2010,1,1.5,-94.44049100000001,41.225693
245,IA,Adair County,19001,Cumberland Rose,2012,1,1.6,-94.43489100000001,41.227092999999996
246,IA,Adair County,19001,Forward Fontanelle,2012,1,1.6,-94.57069399999999,41.339591999999996
247,IA,Adair County,19001,Greenfield Wind,2012,1,1.6,-94.488495,41.290493
248,IA,Adair County,19001,Meadow Ridge,2012,1,1.6,-94.44628900000001,41.390095
249,IA,Adair County,19001,Morning Light,88528,1936,4452.7999999999965,-4161.421747,1823.442384
250,IA,Adair County,19001,Rolling Hills,38209,3667,8434.099999999997,-1798.97664,783.9570689999999
251,IA,Adair County,19001,Sky Volt,2012,1,1.68,-94.485191,41.290690999999995
252,IA,Adair County,19001,Stuart,2005,1,0.66,-94.327393,41.493992
253,IA,Adair County,19001,Wind GEM,2015,1,1.85,-94.339256,41.469986
254,IA,Adair County,19001,Wolverine,2010,1,1.5,-94.44479399999999,41.393093
255,IA,Adams County,19003,Adams,129024,3616,8731.535999999991,-6059.183884000002,2618.9295419999994
256,IA,Adams County,19003,Rolling Hills,38209,3667,8434.099999999997,-1800.6982340000002,781.7251630000001
257,IA,Audubon County,19009,Eclipse,48288,2088,4802.4,-2273.2829949999996,997.3544339999999
258,IA,Black Hawk County,19013,unknown Black Hawk County,2013,1,-9999.0,-92.39559200000001,42.595093
259,IA,Boone County,19015,30 MW Iowa DG Portfolio,2017,10,30.0,-93.700424,41.977608000000004
260,IA,Boone County,19015,Beaver Creek,88748,3740,7480.0,-4141.766710999999,1852.2618290000003
261,IA,Bremer County,19017,Cannon 1,2009,1,0.95,-92.368904,42.73275
262,IA,Bremer County,19017,Cannon II,2012,1,0.9,-92.368095,42.735493
263,IA,Bremer County,19017,Waverly III (Skeets 4),2001,1,0.9,-92.43875899999999,42.762283000000004
264,IA,Buchanan County,19019,Burco Farm & Feed,2010,1,0.1,-91.887505,42.563808
265,IA,Buena Vista County,19021,Intrepid,48096,2544,3816.0,-2288.0976570000003,1021.7776130000001
266,IA,Buena Vista County,19021,Intrepid Expansion,12030,90,90.0,-572.2649,255.42450699999998
267,IA,Buena Vista County,19021,Storm Lake I,273863,19865,14898.75,-13058.506474999998,5851.611306
268,IA,Buena Vista County,19021,Storm Lake II,179910,9540,7155.0,-8580.709227000001,3855.568513999999
269,IA,Buena Vista County,19021,Waverly,3998,4,3.0,-190.52751999999998,85.375374
270,IA,Buena Vista County,19021,unknown Buena Vista County,-9999,1,-9999.0,-95.362892,42.851890999999995
271,IA,Calhoun County,19025,Pomeroy (expansion),16088,104,239.20000000000002,-758.0970310000002,340.427338
272,IA,Carroll County,19027,Carroll,200800,10000,15000.0,-9494.529586999999,4215.006408999999
273,IA,Carroll County,19027,Carroll Area,18135,81,180.0,-854.0181810000001,377.488243
274,IA,Carroll County,19027,Victory,46138,842,1329.0,-2186.0527340000003,968.9266589999999
275,IA,Cass County,19029,Adair,24096,912,2097.6,-1136.582413,497.49511299999995
276,IA,Cass County,19029,Green Energy Machine,2016,1,1.79,-94.75350999999999,41.37022
277,IA,Cass County,19029,Rolling Hills,311705,29915,68804.5000000001,-14688.050583999999,6388.884521999999
